จังหวัดในภาษาไทย,จังหวัดในภาษาอังกฤษ,ปี,ร้อยละ,คะแนนเฉลี่ย,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) อุดมศึกษา,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) อุดมศึกษา,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนปลาย,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนปลาย,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ประถมศึกษา,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ประถมศึกษา,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนต้น,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนต้น,ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 60 ปีขึ้นไป (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 60 ปีขึ้นไป (หน่วย: ปี),ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ต่ำกว่าประถม,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ต่ำกว่าประถม,ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15-39 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15-39 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15-59 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15-59 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 40-59 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 40-59 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15 ปีขึ้นไป (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15 ปีขึ้นไป (หน่วย: ปี)
ปราจีนบุรี,Prachinburi,2567,N/A,N/A,25.94,30.97,30.97,23.24,18.85,1.01,23.24,18.85,N/A,5.59,1.01,1.01,N/A,11.53,N/A,10.72,N/A,9.83,N/A,9.75
นครนายก,Nakhon Nayok,2567,N/A,N/A,24.53,28.47,28.47,23.6,20.93,2.47,23.6,20.93,N/A,6.41,2.47,2.47,N/A,11.03,N/A,10.44,N/A,9.78,N/A,9.69
สระแก้ว,Sa Kaeo,2567,N/A,N/A,18.27,22.92,22.92,23.57,31.37,3.87,23.57,31.37,N/A,4.94,3.87,3.87,N/A,10.68,N/A,9.3,N/A,7.77,N/A,8.47
นครราชสีมา,Nakhon Ratchasima,2567,N/A,N/A,20.39,26.01,26.01,24.83,27.67,1.1,24.83,27.67,N/A,5.13,1.1,1.1,N/A,11.11,N/A,9.98,N/A,8.64,N/A,8.61
บุรีรัมย์,Buriram,2567,N/A,N/A,19.56,28.61,28.61,19.03,31.91,0.9,19.03,31.91,N/A,4.71,0.9,0.9,N/A,11.16,N/A,9.77,N/A,8.16,N/A,8.33
สุรินทร์,Surin,2567,N/A,N/A,18.97,27.87,27.87,21.7,30.19,1.26,21.7,30.19,N/A,4.97,1.26,1.26,N/A,10.97,N/A,9.82,N/A,8.48,N/A,8.44
ศรีสะเกษ,Si Sa Ket,2567,N/A,N/A,14.81,28.4,28.4,21.71,34.92,0.16,21.71,34.92,N/A,5.04,0.16,0.16,N/A,10.79,N/A,9.56,N/A,8.14,N/A,8.28
อุบลราชธานี,Ubon Ratchathani,2567,N/A,N/A,16.51,22.77,22.77,24.55,34.84,1.33,24.55,34.84,N/A,5.23,1.33,1.33,N/A,10.66,N/A,9.34,N/A,7.8,N/A,8.17
ยโสธร,Yasothon,2567,N/A,N/A,11.39,22.06,22.06,29.18,36.64,0.74,29.18,36.64,N/A,5.08,0.74,0.74,N/A,10.4,N/A,9.1,N/A,7.59,N/A,7.96
ชัยภูมิ,Chaiyaphum,2567,N/A,N/A,20.78,25.84,25.84,22.57,29.53,1.28,22.57,29.53,N/A,5.59,1.28,1.28,N/A,10.98,N/A,9.89,N/A,8.61,N/A,8.66
อำนาจเจริญ,Amnat Charoen,2567,N/A,N/A,20.54,24.46,24.46,20.95,33.68,0.37,20.95,33.68,N/A,4.99,0.37,0.37,N/A,11.19,N/A,9.75,N/A,8.08,N/A,8.4
บึงกาฬ,Bueng Kan,2567,N/A,N/A,11.37,26.27,26.27,29.11,33.25,0,29.11,33.25,N/A,5,0,0,N/A,10.63,N/A,9.28,N/A,7.72,N/A,8.07
หนองบัวลำภู,Nong Bua Lamphu,2567,N/A,N/A,17.5,24.5,24.5,22.98,33.83,1.18,22.98,33.83,N/A,5.03,1.18,1.18,N/A,10.85,N/A,9.53,N/A,7.98,N/A,8.24
ขอนแก่น,Khon Kaen,2567,N/A,N/A,19.58,28.92,28.92,25.51,25.8,0.19,25.51,25.8,N/A,5.56,0.19,0.19,N/A,11.41,N/A,10.06,N/A,8.48,N/A,8.78
อุดรธานี,Udon Thani,2567,N/A,N/A,17.83,22.48,22.48,23.85,35.39,0.45,23.85,35.39,N/A,5.3,0.45,0.45,N/A,10.87,N/A,9.42,N/A,7.72,N/A,8.25
เลย,Loei,2567,N/A,N/A,17.77,28.58,28.58,22.42,29.36,1.87,22.42,29.36,N/A,5.2,1.87,1.87,N/A,10.95,N/A,9.82,N/A,8.5,N/A,8.51
หนองคาย,Nong Khai,2567,N/A,N/A,18.01,22.27,22.27,24.79,33.23,1.69,24.79,33.23,N/A,5.46,1.69,1.69,N/A,10.7,N/A,9.43,N/A,7.93,N/A,8.31
มหาสารคาม,Maha Sarakham,2567,N/A,N/A,17.89,31.13,31.13,20.2,30.19,0.58,20.2,30.19,N/A,5.15,0.58,0.58,N/A,11.23,N/A,10.01,N/A,8.6,N/A,8.63
ร้อยเอ็ด,Roi Et,2567,N/A,N/A,19.75,25.3,25.3,25.78,28.83,0.34,25.78,28.83,N/A,5.41,0.34,0.34,N/A,11.19,N/A,9.99,N/A,8.59,N/A,8.68
กาฬสินธุ์,Kalasin,2567,N/A,N/A,14.36,30.48,30.48,20.09,34.9,0.17,20.09,34.9,N/A,5.06,0.17,0.17,N/A,11,N/A,9.62,N/A,8.01,N/A,8.32
สกลนคร,Sakon Nakhon,2567,N/A,N/A,16.54,22.35,22.35,27.51,33.06,0.54,27.51,33.06,N/A,5.16,0.54,0.54,N/A,10.83,N/A,9.43,N/A,7.81,N/A,8.22
นครพนม,Nakhon Phanom,2567,N/A,N/A,15.87,28.02,28.02,21.71,33.18,1.22,21.71,33.18,N/A,5.4,1.22,1.22,N/A,10.73,N/A,9.5,N/A,8.07,N/A,8.34
มุกดาหาร,Mukdahan,2567,N/A,N/A,15.21,22.88,22.88,26.27,35.11,0.53,26.27,35.11,N/A,4.98,0.53,0.53,N/A,10.52,N/A,9.31,N/A,7.91,N/A,8.08
เชียงใหม่,Chiang Mai,2567,N/A,N/A,28.67,18.05,18.05,15.59,26.43,11.25,15.59,26.43,N/A,5.6,11.25,11.25,N/A,10.36,N/A,9.45,N/A,8.33,N/A,8.3
ลำพูน,Lamphun,2567,N/A,N/A,24.88,29.95,29.95,18.97,20.29,5.91,18.97,20.29,N/A,5.27,5.91,5.91,N/A,11.28,N/A,10.18,N/A,8.82,N/A,8.71
ลำปาง,Lampang,2567,N/A,N/A,29.73,25.41,25.41,19.69,22.73,2.44,19.69,22.73,N/A,5.46,2.44,2.44,N/A,11.55,N/A,10.45,N/A,9.18,N/A,8.88
อุตรดิตถ์,Uttaradit,2567,N/A,N/A,25.82,28.44,28.44,20.72,23.76,1.26,20.72,23.76,N/A,5.58,1.26,1.26,N/A,11.69,N/A,10.51,N/A,9.18,N/A,8.96
แพร่,Phrae,2567,N/A,N/A,32.22,27.98,27.98,18.42,20.76,0.62,18.42,20.76,N/A,5.91,0.62,0.62,N/A,12.18,N/A,11,N/A,9.65,N/A,9.4
น่าน,Nan,2567,N/A,N/A,19.82,30.28,30.28,21.21,23.64,5.05,21.21,23.64,N/A,4.64,5.05,5.05,N/A,11.12,N/A,9.82,N/A,8.36,N/A,8.19
พะเยา,Phayao,2567,N/A,N/A,29.43,26.57,26.57,18.5,23.96,1.54,18.5,23.96,N/A,5.04,1.54,1.54,N/A,11.88,N/A,10.66,N/A,9.28,N/A,8.9
เชียงราย,Chiang Rai,2567,N/A,N/A,10.84,24.87,24.87,21.79,33.73,8.77,21.79,33.73,N/A,3.71,8.77,8.77,N/A,9.92,N/A,8.35,N/A,6.54,N/A,6.92
แม่ฮ่องสอน,Mae Hong Son,2567,N/A,N/A,12.89,21.24,21.24,20.35,25.65,19.88,20.35,25.65,N/A,3.46,19.88,19.88,N/A,9.92,N/A,7.76,N/A,5.31,N/A,6.42
นครสวรรค์,Nakhon Sawan,2567,N/A,N/A,22.54,24.35,24.35,21.97,25.54,5.59,21.97,25.54,N/A,5.48,5.59,5.59,N/A,11.01,N/A,9.75,N/A,8.31,N/A,8.42
อุทัยธานี,Uthai Thani,2567,N/A,N/A,20.42,23.84,23.84,20.67,31.42,3.65,20.67,31.42,N/A,5.56,3.65,3.65,N/A,10.83,N/A,9.61,N/A,8.24,N/A,8.34
กำแพงเพชร,Kamphaeng Phet,2567,N/A,N/A,20.07,21.5,21.5,21.4,35.74,1.29,21.4,35.74,N/A,4.96,1.29,1.29,N/A,10.97,N/A,9.49,N/A,7.8,N/A,8.07
ตาก,Tak,2567,N/A,N/A,14.03,16.83,16.83,20.04,27.63,21.47,20.04,27.63,N/A,4.31,21.47,21.47,N/A,8.48,N/A,7.56,N/A,6.46,N/A,6.57
สุโขทัย,Sukhothai,2567,N/A,N/A,20.24,22.45,22.45,23.87,32.11,1.33,23.87,32.11,N/A,5.27,1.33,1.33,N/A,11.12,N/A,9.65,N/A,7.98,N/A,8.27
พิษณุโลก,Phitsanulok,2567,N/A,N/A,23.59,24.45,24.45,23.41,27.43,1.12,23.41,27.43,N/A,5.37,1.12,1.12,N/A,11.33,N/A,10.1,N/A,8.69,N/A,8.62
พิจิตร,Phichit,2567,N/A,N/A,22.43,23.83,23.83,24.92,27.64,1.19,24.92,27.64,N/A,4.97,1.19,1.19,N/A,11.13,N/A,10.03,N/A,8.77,N/A,8.46
เพชรบูรณ์,Phetchabun,2567,N/A,N/A,23.15,21.53,21.53,21.65,31.69,1.98,21.65,31.69,N/A,4.82,1.98,1.98,N/A,11.21,N/A,9.69,N/A,7.94,N/A,8.17
ราชบุรี,Ratchaburi,2567,N/A,N/A,22.33,22.54,22.54,21.78,30.47,2.88,21.78,30.47,N/A,6.01,2.88,2.88,N/A,10.53,N/A,9.72,N/A,8.75,N/A,8.74
กาญจนบุรี,Kanchanaburi,2567,N/A,N/A,21.94,21.35,21.35,21.8,29.15,5.76,21.8,29.15,N/A,4.6,5.76,5.76,N/A,10.46,N/A,9.45,N/A,8.31,N/A,8.15
สุพรรณบุรี,Suphanburi,2567,N/A,N/A,20.12,23.2,23.2,30.76,25.71,0.21,30.76,25.71,N/A,5.12,0.21,0.21,N/A,11.18,N/A,10.05,N/A,8.78,N/A,8.7
นครปฐม,Nakhon Pathom,2567,N/A,N/A,28.87,21.1,21.1,21.11,26.32,2.59,21.11,26.32,N/A,6.4,2.59,2.59,N/A,10.79,N/A,10.35,N/A,9.81,N/A,9.69
สมุทรสาคร,Samut Sakhon,2567,N/A,N/A,18.09,25.63,25.63,25.59,25.39,5.3,25.59,25.39,N/A,6.27,5.3,5.3,N/A,10.56,N/A,9.65,N/A,8.66,N/A,9.02
สมุทรสงคราม,Samut Songkhram,2567,N/A,N/A,27.89,23.69,23.69,18.88,26.9,2.65,18.88,26.9,N/A,7.28,2.65,2.65,N/A,10.76,N/A,10.29,N/A,9.71,N/A,9.52
เพชรบุรี,Phetchaburi,2567,N/A,N/A,24.42,29.02,29.02,21.65,22.5,2.4,21.65,22.5,N/A,5.96,2.4,2.4,N/A,11.36,N/A,10.46,N/A,9.4,N/A,9.26
ประจวบคีรีขันธ์,Prachuap Khiri Khan,2567,N/A,N/A,22.44,22.64,22.64,21.43,25.48,8.02,21.43,25.48,N/A,6.05,8.02,8.02,N/A,10.14,N/A,9.5,N/A,8.74,N/A,8.6
นครศรีธรรมราช,Nakhon Si Thammarat,2567,N/A,N/A,27.82,21.78,21.78,21.1,26.3,3,21.1,26.3,N/A,5.89,3,3,N/A,10.76,N/A,10.2,N/A,9.52,N/A,9.25
กระบี่,Krabi,2567,N/A,N/A,22.8,23.99,23.99,23.26,26.32,3.62,23.26,26.32,N/A,5.32,3.62,3.62,N/A,10.83,N/A,10,N/A,8.93,N/A,9.01
พังงา,Phang Nga,2567,N/A,N/A,22.75,20.95,20.95,20.93,30.62,4.75,20.93,30.62,N/A,5.69,4.75,4.75,N/A,10.15,N/A,9.59,N/A,8.86,N/A,8.77
ภูเก็ต,Phuket,2567,N/A,N/A,29.41,25.83,25.83,20.68,20.36,3.73,20.68,20.36,N/A,7.29,3.73,3.73,N/A,10.79,N/A,10.59,N/A,10.32,N/A,9.92
สุราษฎร์ธานี,Surat Thani,2567,N/A,N/A,21.94,25.99,25.99,24.79,23.52,3.77,24.79,23.52,N/A,6.68,3.77,3.77,N/A,10.3,N/A,10.03,N/A,9.65,N/A,9.35
ระนอง,Ranong,2567,N/A,N/A,14.99,21.13,21.13,21.23,40.22,2.42,21.23,40.22,N/A,5.74,2.42,2.42,N/A,9.13,N/A,8.86,N/A,8.48,N/A,8.26
ชุมพร,Chumphon,2567,N/A,N/A,19.29,25.97,25.97,21.78,28.59,4.38,21.78,28.59,N/A,5.79,4.38,4.38,N/A,10.04,N/A,9.53,N/A,8.81,N/A,8.78
สงขลา,Songkhla,2567,N/A,N/A,34.95,23.49,23.49,18.39,22.41,0.76,18.39,22.41,N/A,6.81,0.76,0.76,N/A,11.57,N/A,11.08,N/A,10.45,N/A,10.16
สตูล,Satun,2567,N/A,N/A,21.62,25.69,25.69,19.69,32.15,0.85,19.69,32.15,N/A,5.07,0.85,0.85,N/A,10.6,N/A,9.94,N/A,9.14,N/A,8.86
ตรัง,Trang,2567,N/A,N/A,22.25,26.12,26.12,17.82,30.54,3.28,17.82,30.54,N/A,5.39,3.28,3.28,N/A,10.56,N/A,9.81,N/A,8.87,N/A,8.85
พัทลุง,Phatthalung,2567,N/A,N/A,25.28,28.5,28.5,22.58,22.03,1.61,22.58,22.03,N/A,6.02,1.61,1.61,N/A,11.05,N/A,10.49,N/A,9.83,N/A,9.49
ปัตตานี,Pattani,2567,N/A,N/A,19.98,23.27,23.27,17.91,31.69,7.14,17.91,31.69,N/A,4.87,7.14,7.14,N/A,10.16,N/A,9.3,N/A,8.25,N/A,8.32
ยะลา,Yala,2567,N/A,N/A,18.24,32.71,32.71,22.47,25.64,0.94,22.47,25.64,N/A,5.4,0.94,0.94,N/A,11.11,N/A,10.19,N/A,9.08,N/A,9.2
นราธิวาส,Narathiwat,2567,N/A,N/A,16.39,23.13,23.13,18.16,36.69,5.63,18.16,36.69,N/A,4.5,5.63,5.63,N/A,9.76,N/A,9,N/A,8.08,N/A,7.99
ประเทศไทย,Thailand,2567,N/A,N/A,25.58,24.6,24.6,21.93,25.21,2.68,21.93,25.21,N/A,5.99,2.68,2.68,N/A,11.06,N/A,10.25,N/A,9.33,N/A,9.22
กรุงเทพมหานคร,Bangkok,2566,N/A,N/A,39.48,22.8,22.8,17.71,16.99,3.02,17.71,16.99,N/A,9,3.02,3.02,N/A,11.97,N/A,11.52,N/A,11.06,N/A,11.07
สมุทรปราการ,Samut Prakan,2566,N/A,N/A,29.19,30.94,30.94,23.68,15.4,0.79,23.68,15.4,N/A,7.01,0.79,0.79,N/A,11.73,N/A,11.16,N/A,10.55,N/A,10.44
นนทบุรี,Nonthaburi,2566,N/A,N/A,39.94,20.51,20.51,21.8,15.76,1.99,21.8,15.76,N/A,9.64,1.99,1.99,N/A,11.76,N/A,11.52,N/A,11.24,N/A,11.2
ปทุมธานี,Pathum Thani,2566,N/A,N/A,33.52,25.97,25.97,22.45,17.58,0.47,22.45,17.58,N/A,8.05,0.47,0.47,N/A,11.76,N/A,11.33,N/A,10.81,N/A,10.78
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,2566,N/A,N/A,34.16,29.87,29.87,20.76,13.89,1.31,20.76,13.89,N/A,6.57,1.31,1.31,N/A,12.11,N/A,11.37,N/A,10.53,N/A,10.22
อ่างทอง,Ang Thong,2566,N/A,N/A,25.39,30.73,30.73,23.14,19.53,1.2,23.14,19.53,N/A,5.79,1.2,1.2,N/A,11.4,N/A,10.69,N/A,9.92,N/A,9.48
ลพบุรี,Lopburi,2566,N/A,N/A,24.78,29.25,29.25,23.48,22.49,0,23.48,22.49,N/A,5.88,0,0,N/A,11.51,N/A,10.61,N/A,9.61,N/A,9.45
สิงห์บุรี,Singburi,2566,N/A,N/A,34.62,24.14,24.14,22.55,17.27,1.43,22.55,17.27,N/A,6.29,1.43,1.43,N/A,12.12,N/A,11.11,N/A,10.01,N/A,9.92
ชัยนาท,Chainat,2566,N/A,N/A,23.36,25.74,25.74,23.34,25.91,1.65,23.34,25.91,N/A,5.27,1.65,1.65,N/A,11.17,N/A,10.14,N/A,9.02,N/A,8.93
สระบุรี,Saraburi,2566,N/A,N/A,25.63,25.41,25.41,25.08,22.61,1.27,25.08,22.61,N/A,5.71,1.27,1.27,N/A,11.1,N/A,10.34,N/A,9.48,N/A,9.22
ชลบุรี,Chonburi,2566,N/A,N/A,29.85,26.28,26.28,24.75,14.77,4.35,24.75,14.77,N/A,6.05,4.35,4.35,N/A,10.96,N/A,10.69,N/A,10.37,N/A,9.81
ระยอง,Rayong,2566,N/A,N/A,28.59,30.69,30.69,21.3,17.73,1.68,21.3,17.73,N/A,5.7,1.68,1.68,N/A,11.48,N/A,10.85,N/A,10.04,N/A,9.99
จันทบุรี,Chanthaburi,2566,N/A,N/A,26.44,21.4,21.4,22.87,24.38,4.91,22.87,24.38,N/A,5.44,4.91,4.91,N/A,11.13,N/A,10.14,N/A,9,N/A,9.3
ตราด,Trat,2566,N/A,N/A,21.91,18.03,18.03,19.39,36.26,4.42,19.39,36.26,N/A,5.75,4.42,4.42,N/A,9.9,N/A,9.23,N/A,8.49,N/A,8.6
ฉะเชิงเทรา,Chachoengsao,2566,N/A,N/A,18.4,26.29,26.29,30.2,21.5,3.61,30.2,21.5,N/A,5.4,3.61,3.61,N/A,10.72,N/A,9.88,N/A,8.79,N/A,9.13
ปราจีนบุรี,Prachinburi,2566,N/A,N/A,25.28,31.18,31.18,21.81,21.13,0.58,21.81,21.13,N/A,5.81,0.58,0.58,N/A,11.54,N/A,10.64,N/A,9.62,N/A,9.75
นครนายก,Nakhon Nayok,2566,N/A,N/A,21.78,28.65,28.65,25.68,21.58,2.32,25.68,21.58,N/A,5.88,2.32,2.32,N/A,11.21,N/A,10.26,N/A,9.17,N/A,9.47
สระแก้ว,Sa Kaeo,2566,N/A,N/A,15.82,23.24,23.24,25.47,32.89,2.58,25.47,32.89,N/A,4.77,2.58,2.58,N/A,10.62,N/A,9.27,N/A,7.76,N/A,8.45
นครราชสีมา,Nakhon Ratchasima,2566,N/A,N/A,18.71,27.85,27.85,24.06,28.2,1.18,24.06,28.2,N/A,5.28,1.18,1.18,N/A,11.16,N/A,9.92,N/A,8.49,N/A,8.65
บุรีรัมย์,Buriram,2566,N/A,N/A,17.89,27.92,27.92,19.54,32.95,1.7,19.54,32.95,N/A,4.93,1.7,1.7,N/A,10.79,N/A,9.57,N/A,8.2,N/A,8.29
สุรินทร์,Surin,2566,N/A,N/A,14.28,27.59,27.59,23.19,34.01,0.93,23.19,34.01,N/A,4.65,0.93,0.93,N/A,10.6,N/A,9.38,N/A,8,N/A,8.08
ศรีสะเกษ,Si Sa Ket,2566,N/A,N/A,15.3,22.45,22.45,20.82,39.98,1.46,20.82,39.98,N/A,4.69,1.46,1.46,N/A,10.3,N/A,9.1,N/A,7.75,N/A,7.88
อุบลราชธานี,Ubon Ratchathani,2566,N/A,N/A,13.88,23.25,23.25,24.45,37.9,0.53,24.45,37.9,N/A,5.19,0.53,0.53,N/A,10.45,N/A,9.17,N/A,7.74,N/A,8.08
ยโสธร,Yasothon,2566,N/A,N/A,14.92,23.74,23.74,23.21,37.88,0.25,23.21,37.88,N/A,4.65,0.25,0.25,N/A,10.83,N/A,9.33,N/A,7.65,N/A,8.04
ชัยภูมิ,Chaiyaphum,2566,N/A,N/A,16.9,26.45,26.45,23.58,31.92,1.15,23.58,31.92,N/A,5.6,1.15,1.15,N/A,10.8,N/A,9.63,N/A,8.32,N/A,8.52
อำนาจเจริญ,Amnat Charoen,2566,N/A,N/A,15.93,24.87,24.87,22.07,36.3,0.84,22.07,36.3,N/A,5.06,0.84,0.84,N/A,10.71,N/A,9.3,N/A,7.71,N/A,8.13
บึงกาฬ,Bueng Kan,2566,N/A,N/A,11.51,20.97,20.97,29.03,38.15,0.34,29.03,38.15,N/A,4.89,0.34,0.34,N/A,10.47,N/A,8.92,N/A,7.18,N/A,7.81
หนองบัวลำภู,Nong Bua Lamphu,2566,N/A,N/A,14.12,22.41,22.41,21.07,41.34,1.06,21.07,41.34,N/A,4.66,1.06,1.06,N/A,10.39,N/A,9.03,N/A,7.5,N/A,7.83
ขอนแก่น,Khon Kaen,2566,N/A,N/A,22.23,25.73,25.73,25.78,26.25,0,25.78,26.25,N/A,5.4,0,0,N/A,11.28,N/A,10.11,N/A,8.79,N/A,8.82
อุดรธานี,Udon Thani,2566,N/A,N/A,17.96,22.92,22.92,23.77,35.06,0.29,23.77,35.06,N/A,5.11,0.29,0.29,N/A,10.9,N/A,9.52,N/A,7.96,N/A,8.3
เลย,Loei,2566,N/A,N/A,17.43,23,23,20.85,36.17,2.55,20.85,36.17,N/A,4.97,2.55,2.55,N/A,10.5,N/A,9.4,N/A,8.16,N/A,8.18
หนองคาย,Nong Khai,2566,N/A,N/A,17.82,23.9,23.9,22.3,34.66,1.31,22.3,34.66,N/A,5.72,1.31,1.31,N/A,10.85,N/A,9.52,N/A,8,N/A,8.48
มหาสารคาม,Maha Sarakham,2566,N/A,N/A,18.57,31.85,31.85,19.15,30.06,0.36,19.15,30.06,N/A,5.23,0.36,0.36,N/A,11.39,N/A,10.07,N/A,8.58,N/A,8.73
ร้อยเอ็ด,Roi Et,2566,N/A,N/A,21.4,26.97,26.97,21.33,29.71,0.59,21.33,29.71,N/A,5.15,0.59,0.59,N/A,11.33,N/A,10.03,N/A,8.58,N/A,8.69
กาฬสินธุ์,Kalasin,2566,N/A,N/A,16.16,28.79,28.79,19.34,35.05,0.67,19.34,35.05,N/A,5,0.67,0.67,N/A,11.07,N/A,9.62,N/A,8,N/A,8.35
สกลนคร,Sakon Nakhon,2566,N/A,N/A,13.69,24.42,24.42,23.19,38.27,0.43,23.19,38.27,N/A,4.94,0.43,0.43,N/A,10.52,N/A,9.16,N/A,7.63,N/A,8
นครพนม,Nakhon Phanom,2566,N/A,N/A,14.1,25.92,25.92,21.59,37.45,0.94,21.59,37.45,N/A,5.18,0.94,0.94,N/A,10.38,N/A,9.21,N/A,7.9,N/A,8.1
มุกดาหาร,Mukdahan,2566,N/A,N/A,12.69,23.02,23.02,26.48,36.69,1.12,26.48,36.69,N/A,5.14,1.12,1.12,N/A,10.28,N/A,9.12,N/A,7.8,N/A,8.02
เชียงใหม่,Chiang Mai,2566,N/A,N/A,30.32,19.9,19.9,12.99,24.16,12.64,12.99,24.16,N/A,5.24,12.64,12.64,N/A,10.75,N/A,9.6,N/A,8.23,N/A,8.34
ลำพูน,Lamphun,2566,N/A,N/A,24.5,28.25,28.25,18.22,22.16,6.87,18.22,22.16,N/A,5.04,6.87,6.87,N/A,11.02,N/A,9.93,N/A,8.63,N/A,8.51
ลำปาง,Lampang,2566,N/A,N/A,32.93,22.65,22.65,16.71,25.43,2.28,16.71,25.43,N/A,5.53,2.28,2.28,N/A,12.01,N/A,10.52,N/A,8.87,N/A,9
อุตรดิตถ์,Uttaradit,2566,N/A,N/A,26.91,28.93,28.93,17.69,25.22,1.26,17.69,25.22,N/A,5.52,1.26,1.26,N/A,12.07,N/A,10.59,N/A,8.96,N/A,9.05
แพร่,Phrae,2566,N/A,N/A,31.67,25.9,25.9,20.66,21.09,0.68,20.66,21.09,N/A,5.69,0.68,0.68,N/A,12.15,N/A,10.88,N/A,9.47,N/A,9.3
น่าน,Nan,2566,N/A,N/A,21.81,34.13,34.13,18.42,23.69,1.96,18.42,23.69,N/A,5.03,1.96,1.96,N/A,11.9,N/A,10.35,N/A,8.65,N/A,8.73
พะเยา,Phayao,2566,N/A,N/A,24.52,27.91,27.91,18.83,25.45,3.29,18.83,25.45,N/A,4.65,3.29,3.29,N/A,11.44,N/A,10.12,N/A,8.68,N/A,8.46
เชียงราย,Chiang Rai,2566,N/A,N/A,11.35,23.33,23.33,22.12,33.57,9.64,22.12,33.57,N/A,3.6,9.64,9.64,N/A,9.9,N/A,8.23,N/A,6.35,N/A,6.84
