จังหวัดในภาษาไทย,จังหวัดในภาษาอังกฤษ,ปี,ร้อยละ,คะแนนเฉลี่ย,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) อุดมศึกษา,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) อุดมศึกษา,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนปลาย,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนปลาย,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ประถมศึกษา,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ประถมศึกษา,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนต้น,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนต้น,ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 60 ปีขึ้นไป (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 60 ปีขึ้นไป (หน่วย: ปี),ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ต่ำกว่าประถม,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ต่ำกว่าประถม,ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15-39 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15-39 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15-59 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15-59 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 40-59 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 40-59 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15 ปีขึ้นไป (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15 ปีขึ้นไป (หน่วย: ปี)
แม่ฮ่องสอน,Mae Hong Son,2566,N/A,N/A,11.93,21.97,21.97,19.36,25.45,21.29,19.36,25.45,N/A,2.9,21.29,21.29,N/A,9.62,N/A,7.63,N/A,5.41,N/A,6.21
นครสวรรค์,Nakhon Sawan,2566,N/A,N/A,23.52,25.83,25.83,21.19,23.17,6.28,21.19,23.17,N/A,5.07,6.28,6.28,N/A,11.36,N/A,9.9,N/A,8.27,N/A,8.43
อุทัยธานี,Uthai Thani,2566,N/A,N/A,19.99,21.87,21.87,22.2,34.16,1.79,22.2,34.16,N/A,5.34,1.79,1.79,N/A,10.76,N/A,9.53,N/A,8.18,N/A,8.26
กำแพงเพชร,Kamphaeng Phet,2566,N/A,N/A,19.04,19.5,19.5,23.81,35.47,2.18,23.81,35.47,N/A,4.64,2.18,2.18,N/A,10.85,N/A,9.3,N/A,7.58,N/A,7.89
ตาก,Tak,2566,N/A,N/A,16.25,16.62,16.62,17.67,28.05,21.42,17.67,28.05,N/A,4.42,21.42,21.42,N/A,8.59,N/A,7.67,N/A,6.61,N/A,6.71
สุโขทัย,Sukhothai,2566,N/A,N/A,20.49,26.41,26.41,20,31.59,1.51,20,31.59,N/A,4.91,1.51,1.51,N/A,11.39,N/A,9.76,N/A,7.97,N/A,8.28
พิษณุโลก,Phitsanulok,2566,N/A,N/A,23.16,24.73,24.73,21.06,30.44,0.6,21.06,30.44,N/A,5.57,0.6,0.6,N/A,11.39,N/A,10.06,N/A,8.58,N/A,8.69
พิจิตร,Phichit,2566,N/A,N/A,22.46,25.16,25.16,26.74,24.45,1.19,26.74,24.45,N/A,5.13,1.19,1.19,N/A,11.42,N/A,10.17,N/A,8.76,N/A,8.65
เพชรบูรณ์,Phetchabun,2566,N/A,N/A,22.2,23.09,23.09,22.27,29.76,2.67,22.27,29.76,N/A,4.86,2.67,2.67,N/A,11.09,N/A,9.7,N/A,8.15,N/A,8.24
ราชบุรี,Ratchaburi,2566,N/A,N/A,24.54,22.38,22.38,19.76,31.08,2.23,19.76,31.08,N/A,5.75,2.23,2.23,N/A,10.85,N/A,9.89,N/A,8.74,N/A,8.84
กาญจนบุรี,Kanchanaburi,2566,N/A,N/A,20.93,22.1,22.1,20.52,32.64,3.81,20.52,32.64,N/A,4.66,3.81,3.81,N/A,10.58,N/A,9.44,N/A,8.16,N/A,8.19
สุพรรณบุรี,Suphanburi,2566,N/A,N/A,15.91,20.27,20.27,32.13,30.92,0.77,32.13,30.92,N/A,4.87,0.77,0.77,N/A,10.69,N/A,9.48,N/A,8.13,N/A,8.26
นครปฐม,Nakhon Pathom,2566,N/A,N/A,30.26,21.2,21.2,19.93,25.23,3.38,19.93,25.23,N/A,6.27,3.38,3.38,N/A,11.01,N/A,10.44,N/A,9.73,N/A,9.77
สมุทรสาคร,Samut Sakhon,2566,N/A,N/A,17.98,21.58,21.58,26.96,24.1,9.38,26.96,24.1,N/A,6.08,9.38,9.38,N/A,9.79,N/A,9.23,N/A,8.5,N/A,8.71
สมุทรสงคราม,Samut Songkhram,2566,N/A,N/A,26.41,23.27,23.27,18.62,28.7,3,18.62,28.7,N/A,6.95,3,3,N/A,10.5,N/A,10.01,N/A,9.41,N/A,9.25
เพชรบุรี,Phetchaburi,2566,N/A,N/A,23.87,23.34,23.34,22.34,25.87,4.59,22.34,25.87,N/A,5.73,4.59,4.59,N/A,11.15,N/A,9.95,N/A,8.54,N/A,8.87
ประจวบคีรีขันธ์,Prachuap Khiri Khan,2566,N/A,N/A,24.2,21.92,21.92,21.24,26.3,6.34,21.24,26.3,N/A,5.93,6.34,6.34,N/A,10.54,N/A,9.77,N/A,8.85,N/A,8.8
นครศรีธรรมราช,Nakhon Si Thammarat,2566,N/A,N/A,28.66,23.39,23.39,21.44,25.31,1.2,21.44,25.31,N/A,5.76,1.2,1.2,N/A,11.23,N/A,10.53,N/A,9.67,N/A,9.52
กระบี่,Krabi,2566,N/A,N/A,23.95,20.94,20.94,22.81,28.55,3.75,22.81,28.55,N/A,5.2,3.75,3.75,N/A,10.71,N/A,9.93,N/A,8.9,N/A,8.96
พังงา,Phang Nga,2566,N/A,N/A,23.01,20.99,20.99,24.42,29.8,1.78,24.42,29.8,N/A,5.86,1.78,1.78,N/A,10.57,N/A,9.86,N/A,8.92,N/A,9.06
ภูเก็ต,Phuket,2566,N/A,N/A,33.67,26.22,26.22,18.58,20.68,0.85,18.58,20.68,N/A,7.51,0.85,0.85,N/A,11.4,N/A,11.1,N/A,10.69,N/A,10.4
สุราษฎร์ธานี,Surat Thani,2566,N/A,N/A,21.77,26.44,26.44,20.18,26.24,5.39,20.18,26.24,N/A,6.34,5.39,5.39,N/A,10.32,N/A,9.78,N/A,9.03,N/A,9.11
ระนอง,Ranong,2566,N/A,N/A,16.8,22.57,22.57,20.85,38.4,1.38,20.85,38.4,N/A,6.06,1.38,1.38,N/A,9.63,N/A,9.17,N/A,8.5,N/A,8.58
ชุมพร,Chumphon,2566,N/A,N/A,18.61,23.34,23.34,25.8,28.93,3.32,25.8,28.93,N/A,5.77,3.32,3.32,N/A,9.76,N/A,9.43,N/A,8.97,N/A,8.72
สงขลา,Songkhla,2566,N/A,N/A,33.5,21.87,21.87,18.77,24.92,0.93,18.77,24.92,N/A,7.24,0.93,0.93,N/A,11.44,N/A,10.8,N/A,9.97,N/A,10.05
สตูล,Satun,2566,N/A,N/A,23.93,24.84,24.84,19.66,30.24,1.33,19.66,30.24,N/A,5.14,1.33,1.33,N/A,10.67,N/A,10.04,N/A,9.28,N/A,9
ตรัง,Trang,2566,N/A,N/A,22.86,27.57,27.57,18.85,29.3,1.41,18.85,29.3,N/A,5.81,1.41,1.41,N/A,10.88,N/A,10.09,N/A,9.1,N/A,9.19
พัทลุง,Phatthalung,2566,N/A,N/A,25.53,28.66,28.66,22.64,22.5,0.67,22.64,22.5,N/A,5.96,0.67,0.67,N/A,11.32,N/A,10.56,N/A,9.64,N/A,9.57
ปัตตานี,Pattani,2566,N/A,N/A,18,21.21,21.21,17.59,34.01,9.19,17.59,34.01,N/A,4.67,9.19,9.19,N/A,10.07,N/A,8.85,N/A,7.35,N/A,7.95
ยะลา,Yala,2566,N/A,N/A,19.42,33.55,33.55,21.06,24.86,1.11,21.06,24.86,N/A,5.24,1.11,1.11,N/A,11.3,N/A,10.27,N/A,9.02,N/A,9.23
นราธิวาส,Narathiwat,2566,N/A,N/A,17.59,22.85,22.85,16.25,36.19,7.13,16.25,36.19,N/A,4.57,7.13,7.13,N/A,9.86,N/A,9.01,N/A,7.98,N/A,8.05
ประเทศไทย,Thailand,2566,N/A,N/A,25.72,24.69,24.69,21.43,25.38,2.78,21.43,25.38,N/A,5.9,2.78,2.78,N/A,11.13,N/A,10.24,N/A,9.23,N/A,9.23
กรุงเทพมหานคร,Bangkok,2565,N/A,N/A,39.08,22.81,22.81,16.84,18.74,2.53,16.84,18.74,N/A,9.03,2.53,2.53,N/A,12.07,N/A,11.49,N/A,10.86,N/A,11.07
สมุทรปราการ,Samut Prakan,2565,N/A,N/A,31.29,29.56,29.56,21.27,16.72,1.16,21.27,16.72,N/A,7.32,1.16,1.16,N/A,11.69,N/A,11.22,N/A,10.69,N/A,10.57
นนทบุรี,Nonthaburi,2565,N/A,N/A,45.01,20.07,20.07,18.45,12.22,4.24,18.45,12.22,N/A,9.57,4.24,4.24,N/A,12.03,N/A,11.79,N/A,11.5,N/A,11.43
ปทุมธานี,Pathum Thani,2565,N/A,N/A,35.64,26.67,26.67,21.94,13.84,1.91,21.94,13.84,N/A,7.6,1.91,1.91,N/A,11.99,N/A,11.45,N/A,10.8,N/A,10.83
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,2565,N/A,N/A,31.99,30.65,30.65,20.41,16.42,0.53,20.41,16.42,N/A,5.87,0.53,0.53,N/A,11.85,N/A,11.18,N/A,10.41,N/A,9.95
อ่างทอง,Ang Thong,2565,N/A,N/A,26.9,30.88,30.88,22.92,18.68,0.62,22.92,18.68,N/A,6.03,0.62,0.62,N/A,11.79,N/A,10.87,N/A,9.88,N/A,9.71
ลพบุรี,Lopburi,2565,N/A,N/A,24.92,26.19,26.19,21.16,26.65,1.08,21.16,26.65,N/A,5.68,1.08,1.08,N/A,11.52,N/A,10.21,N/A,8.77,N/A,9.14
สิงห์บุรี,Singburi,2565,N/A,N/A,34.96,27.39,27.39,18.82,17.63,1.2,18.82,17.63,N/A,6.4,1.2,1.2,N/A,12.12,N/A,11.31,N/A,10.42,N/A,10.13
ชัยนาท,Chainat,2565,N/A,N/A,25.63,22.05,22.05,22.3,28.31,1.72,22.3,28.31,N/A,5.46,1.72,1.72,N/A,11.13,N/A,10.06,N/A,8.91,N/A,8.95
สระบุรี,Saraburi,2565,N/A,N/A,24.95,22.11,22.11,25.05,26.25,1.64,25.05,26.25,N/A,5.48,1.64,1.64,N/A,10.98,N/A,10.05,N/A,9.04,N/A,8.96
ชลบุรี,Chonburi,2565,N/A,N/A,30.6,26.65,26.65,24.75,16.12,1.88,24.75,16.12,N/A,6,1.88,1.88,N/A,11.43,N/A,10.91,N/A,10.28,N/A,10.05
ระยอง,Rayong,2565,N/A,N/A,31.99,28.42,28.42,21.41,17.64,0.54,21.41,17.64,N/A,5.3,0.54,0.54,N/A,11.91,N/A,11.09,N/A,10.04,N/A,10.13
จันทบุรี,Chanthaburi,2565,N/A,N/A,25.19,18.47,18.47,21.99,31.81,2.54,21.99,31.81,N/A,4.91,2.54,2.54,N/A,10.98,N/A,9.84,N/A,8.49,N/A,8.99
ตราด,Trat,2565,N/A,N/A,23.78,20.57,20.57,18.99,30.31,6.36,18.99,30.31,N/A,5.61,6.36,6.36,N/A,10.25,N/A,9.49,N/A,8.63,N/A,8.81
ฉะเชิงเทรา,Chachoengsao,2565,N/A,N/A,25.88,25.88,25.88,23,22.98,2.26,23,22.98,N/A,5.44,2.26,2.26,N/A,11.2,N/A,10.37,N/A,9.3,N/A,9.55
ปราจีนบุรี,Prachinburi,2565,N/A,N/A,30.47,28.14,28.14,20.57,19.02,1.81,20.57,19.02,N/A,5.85,1.81,1.81,N/A,11.64,N/A,10.81,N/A,9.87,N/A,9.93
นครนายก,Nakhon Nayok,2565,N/A,N/A,23.62,28.73,28.73,22.79,22.47,2.38,22.79,22.47,N/A,6.41,2.38,2.38,N/A,11.17,N/A,10.31,N/A,9.31,N/A,9.63
สระแก้ว,Sa Kaeo,2565,N/A,N/A,19.66,23.16,23.16,21.01,33.21,2.96,21.01,33.21,N/A,4.36,2.96,2.96,N/A,10.88,N/A,9.43,N/A,7.79,N/A,8.54
นครราชสีมา,Nakhon Ratchasima,2565,N/A,N/A,20.25,24.74,24.74,23.79,30.39,0.83,23.79,30.39,N/A,5.31,0.83,0.83,N/A,10.93,N/A,9.84,N/A,8.64,N/A,8.64
บุรีรัมย์,Buriram,2565,N/A,N/A,17.27,26.92,26.92,19.61,34.5,1.71,19.61,34.5,N/A,4.6,1.71,1.71,N/A,10.89,N/A,9.49,N/A,7.96,N/A,8.18
สุรินทร์,Surin,2565,N/A,N/A,11.88,23.03,23.03,24.61,39.19,1.28,24.61,39.19,N/A,4.36,1.28,1.28,N/A,10.46,N/A,8.83,N/A,7.06,N/A,7.64
ศรีสะเกษ,Si Sa Ket,2565,N/A,N/A,13.54,22.8,22.8,19.79,41.46,2.42,19.79,41.46,N/A,4.41,2.42,2.42,N/A,10.44,N/A,8.85,N/A,7.14,N/A,7.66
อุบลราชธานี,Ubon Ratchathani,2565,N/A,N/A,14.78,23.14,23.14,22.57,38.49,1.02,22.57,38.49,N/A,5.07,1.02,1.02,N/A,10.59,N/A,9.11,N/A,7.5,N/A,8.03
ยโสธร,Yasothon,2565,N/A,N/A,14.75,20.82,20.82,23.37,40.55,0.51,23.37,40.55,N/A,4.8,0.51,0.51,N/A,10.57,N/A,9.08,N/A,7.46,N/A,7.94
ชัยภูมิ,Chaiyaphum,2565,N/A,N/A,12.94,27.65,27.65,22.67,35.63,1.11,22.67,35.63,N/A,4.9,1.11,1.11,N/A,10.62,N/A,9.23,N/A,7.71,N/A,8.07
อำนาจเจริญ,Amnat Charoen,2565,N/A,N/A,16.41,23.09,23.09,21.06,38.87,0.57,21.06,38.87,N/A,5.25,0.57,0.57,N/A,10.7,N/A,9.21,N/A,7.58,N/A,8.15
บึงกาฬ,Bueng Kan,2565,N/A,N/A,11.36,23.9,23.9,27.14,37.41,0.19,27.14,37.41,N/A,4.95,0.19,0.19,N/A,10.87,N/A,9.07,N/A,7.1,N/A,7.97
หนองบัวลำภู,Nong Bua Lamphu,2565,N/A,N/A,15.97,22.1,22.1,21.98,38.8,1.15,21.98,38.8,N/A,4.92,1.15,1.15,N/A,10.87,N/A,9.18,N/A,7.36,N/A,8.04
ขอนแก่น,Khon Kaen,2565,N/A,N/A,22.23,31.33,31.33,25.8,20.35,0.28,25.8,20.35,N/A,5.95,0.28,0.28,N/A,11.54,N/A,10.5,N/A,9.37,N/A,9.29
อุดรธานี,Udon Thani,2565,N/A,N/A,19.5,24.55,24.55,20.38,34.91,0.66,20.38,34.91,N/A,4.82,0.66,0.66,N/A,11.27,N/A,9.65,N/A,7.88,N/A,8.36
เลย,Loei,2565,N/A,N/A,16.07,19.8,19.8,24.48,38.39,1.26,24.48,38.39,N/A,4.73,1.26,1.26,N/A,10.44,N/A,9.13,N/A,7.72,N/A,7.96
หนองคาย,Nong Khai,2565,N/A,N/A,19.35,24.7,24.7,23.1,31.73,1.12,23.1,31.73,N/A,5.48,1.12,1.12,N/A,11.22,N/A,9.64,N/A,7.91,N/A,8.54
มหาสารคาม,Maha Sarakham,2565,N/A,N/A,20.24,30.31,30.31,18.48,30.79,0.19,18.48,30.79,N/A,5.44,0.19,0.19,N/A,11.55,N/A,10.11,N/A,8.55,N/A,8.87
ร้อยเอ็ด,Roi Et,2565,N/A,N/A,15.44,28.37,28.37,23.44,32.32,0.43,23.44,32.32,N/A,4.87,0.43,0.43,N/A,10.94,N/A,9.65,N/A,8.23,N/A,8.37
กาฬสินธุ์,Kalasin,2565,N/A,N/A,18.2,26.91,26.91,18.73,35.01,1.14,18.73,35.01,N/A,4.88,1.14,1.14,N/A,11.01,N/A,9.62,N/A,8.1,N/A,8.35
สกลนคร,Sakon Nakhon,2565,N/A,N/A,13.85,23.99,23.99,21.24,40.33,0.58,21.24,40.33,N/A,5.21,0.58,0.58,N/A,10.74,N/A,9.09,N/A,7.28,N/A,8.05
นครพนม,Nakhon Phanom,2565,N/A,N/A,15.82,22.15,22.15,21.2,39.29,1.54,21.2,39.29,N/A,4.96,1.54,1.54,N/A,10.41,N/A,9.08,N/A,7.63,N/A,7.98
มุกดาหาร,Mukdahan,2565,N/A,N/A,13.4,24.24,24.24,26.39,34.98,0.98,26.39,34.98,N/A,5.21,0.98,0.98,N/A,10.44,N/A,9.24,N/A,7.92,N/A,8.16
เชียงใหม่,Chiang Mai,2565,N/A,N/A,33.82,19.2,19.2,13.48,22.19,11.31,13.48,22.19,N/A,5.77,11.31,11.31,N/A,11.41,N/A,9.93,N/A,8.22,N/A,8.76
ลำพูน,Lamphun,2565,N/A,N/A,25.78,30.07,30.07,17.02,21.13,6,17.02,21.13,N/A,5.24,6,6,N/A,11.15,N/A,10.11,N/A,8.92,N/A,8.74
ลำปาง,Lampang,2565,N/A,N/A,32.25,21.16,21.16,16.27,27.29,3.04,16.27,27.29,N/A,5.02,3.04,3.04,N/A,11.86,N/A,10.25,N/A,8.51,N/A,8.71
อุตรดิตถ์,Uttaradit,2565,N/A,N/A,28.43,25.97,25.97,15.32,29.21,1.07,15.32,29.21,N/A,5.35,1.07,1.07,N/A,12.02,N/A,10.44,N/A,8.75,N/A,8.95
แพร่,Phrae,2565,N/A,N/A,28.46,29.76,29.76,17.22,23.56,1,17.22,23.56,N/A,5.41,1,1,N/A,11.98,N/A,10.65,N/A,9.21,N/A,9.11
น่าน,Nan,2565,N/A,N/A,22.78,28.05,28.05,18.04,28.43,2.69,18.04,28.43,N/A,5.06,2.69,2.69,N/A,11.53,N/A,9.98,N/A,8.31,N/A,8.53
พะเยา,Phayao,2565,N/A,N/A,23.78,26.21,26.21,20.4,27.16,2.45,20.4,27.16,N/A,4.57,2.45,2.45,N/A,11.66,N/A,10.05,N/A,8.33,N/A,8.44
เชียงราย,Chiang Rai,2565,N/A,N/A,17.4,22.68,22.68,20.06,30.66,9.2,20.06,30.66,N/A,3.73,9.2,9.2,N/A,10.47,N/A,8.72,N/A,6.8,N/A,7.27
แม่ฮ่องสอน,Mae Hong Son,2565,N/A,N/A,11.99,19.73,19.73,22.54,23.33,22.41,22.54,23.33,N/A,2.27,22.41,22.41,N/A,9.62,N/A,7.58,N/A,5.36,N/A,6.04
นครสวรรค์,Nakhon Sawan,2565,N/A,N/A,24.37,24.21,24.21,20.37,29.98,1.06,20.37,29.98,N/A,4.93,1.06,1.06,N/A,11.49,N/A,10.07,N/A,8.53,N/A,8.57
อุทัยธานี,Uthai Thani,2565,N/A,N/A,20.92,22.18,22.18,20.77,34.7,1.44,20.77,34.7,N/A,4.97,1.44,1.44,N/A,10.97,N/A,9.58,N/A,8.09,N/A,8.22
กำแพงเพชร,Kamphaeng Phet,2565,N/A,N/A,16.71,20.45,20.45,21.07,38.59,3.17,21.07,38.59,N/A,4.3,3.17,3.17,N/A,10.45,N/A,8.93,N/A,7.29,N/A,7.58
ตาก,Tak,2565,N/A,N/A,17.9,18.01,18.01,15.47,29.05,19.57,15.47,29.05,N/A,4.03,19.57,19.57,N/A,8.89,N/A,7.7,N/A,6.4,N/A,6.63
สุโขทัย,Sukhothai,2565,N/A,N/A,19.08,24.06,24.06,22.4,32.87,1.59,22.4,32.87,N/A,5.2,1.59,1.59,N/A,11.15,N/A,9.59,N/A,7.92,N/A,8.3
พิษณุโลก,Phitsanulok,2565,N/A,N/A,23.72,22.89,22.89,21.52,30.49,1.37,21.52,30.49,N/A,5.26,1.37,1.37,N/A,11.41,N/A,9.89,N/A,8.26,N/A,8.53
พิจิตร,Phichit,2565,N/A,N/A,22.53,25.93,25.93,23.59,26.84,1.11,23.59,26.84,N/A,5.02,1.11,1.11,N/A,11.61,N/A,10.11,N/A,8.49,N/A,8.62
เพชรบูรณ์,Phetchabun,2565,N/A,N/A,21.47,25.42,25.42,19.49,31.58,2.05,19.49,31.58,N/A,4.9,2.05,2.05,N/A,11.28,N/A,9.76,N/A,8.1,N/A,8.34
ราชบุรี,Ratchaburi,2565,N/A,N/A,23.58,20.35,20.35,19.95,31.62,4.5,19.95,31.62,N/A,5.49,4.5,4.5,N/A,10.62,N/A,9.54,N/A,8.27,N/A,8.54
กาญจนบุรี,Kanchanaburi,2565,N/A,N/A,16.51,19.89,19.89,19.81,36.99,6.8,19.81,36.99,N/A,4.76,6.8,6.8,N/A,9.6,N/A,8.71,N/A,7.72,N/A,7.71
สุพรรณบุรี,Suphanburi,2565,N/A,N/A,14.47,20.68,20.68,31.58,32.4,0.87,31.58,32.4,N/A,4.96,0.87,0.87,N/A,10.58,N/A,9.38,N/A,8.06,N/A,8.25
นครปฐม,Nakhon Pathom,2565,N/A,N/A,26.45,20.88,20.88,19.12,25.51,8.05,19.12,25.51,N/A,6.26,8.05,8.05,N/A,10.27,N/A,9.75,N/A,9.08,N/A,9.22
สมุทรสาคร,Samut Sakhon,2565,N/A,N/A,28.14,21.3,21.3,18.65,19.66,12.26,18.65,19.66,N/A,6.62,12.26,12.26,N/A,9.62,N/A,9.65,N/A,9.68,N/A,9.2
สมุทรสงคราม,Samut Songkhram,2565,N/A,N/A,24.75,21.85,21.85,19.67,27.06,6.68,19.67,27.06,N/A,6.46,6.68,6.68,N/A,10.04,N/A,9.69,N/A,9.26,N/A,8.91
เพชรบุรี,Phetchaburi,2565,N/A,N/A,25.75,21.12,21.12,18.89,32.39,1.84,18.89,32.39,N/A,6.2,1.84,1.84,N/A,10.85,N/A,9.94,N/A,8.86,N/A,9.01
ประจวบคีรีขันธ์,Prachuap Khiri Khan,2565,N/A,N/A,24.63,21.64,21.64,22.09,26.5,5.15,22.09,26.5,N/A,6.29,5.15,5.15,N/A,10.77,N/A,9.86,N/A,8.77,N/A,8.99
นครศรีธรรมราช,Nakhon Si Thammarat,2565,N/A,N/A,29.18,23.82,23.82,20.37,25.66,0.98,20.37,25.66,N/A,6.09,0.98,0.98,N/A,11.38,N/A,10.54,N/A,9.52,N/A,9.64
กระบี่,Krabi,2565,N/A,N/A,25.33,21.26,21.26,23.71,28.91,0.79,23.71,28.91,N/A,5.27,0.79,0.79,N/A,10.96,N/A,10.18,N/A,9.17,N/A,9.21
พังงา,Phang Nga,2565,N/A,N/A,21.26,22.07,22.07,23.15,29.43,4.09,23.15,29.43,N/A,5.16,4.09,4.09,N/A,10.3,N/A,9.63,N/A,8.75,N/A,8.76
ภูเก็ต,Phuket,2565,N/A,N/A,36.21,25.47,25.47,21.94,15.2,1.18,21.94,15.2,N/A,6.89,1.18,1.18,N/A,11.7,N/A,11.44,N/A,11.08,N/A,10.59
สุราษฎร์ธานี,Surat Thani,2565,N/A,N/A,23.43,24.55,24.55,16.77,27.84,7.4,16.77,27.84,N/A,6.3,7.4,7.4,N/A,10.07,N/A,9.59,N/A,8.93,N/A,8.97
ระนอง,Ranong,2565,N/A,N/A,17.29,18,18,17.42,40.94,6.36,17.42,40.94,N/A,5.35,6.36,6.36,N/A,9.01,N/A,8.54,N/A,7.87,N/A,7.97
ชุมพร,Chumphon,2565,N/A,N/A,19.88,20.95,20.95,25.87,29.42,3.89,25.87,29.42,N/A,5.66,3.89,3.89,N/A,10.05,N/A,9.43,N/A,8.56,N/A,8.72
สงขลา,Songkhla,2565,N/A,N/A,33.33,23.07,23.07,18.08,24.48,1.04,18.08,24.48,N/A,7.01,1.04,1.04,N/A,11.58,N/A,10.85,N/A,9.91,N/A,10.07
สตูล,Satun,2565,N/A,N/A,25.49,22.75,22.75,20.02,29.65,2.09,20.02,29.65,N/A,5.39,2.09,2.09,N/A,10.83,N/A,10.08,N/A,9.17,N/A,9.11
ตรัง,Trang,2565,N/A,N/A,23.59,24.36,24.36,21.9,28.92,1.23,21.9,28.92,N/A,5.68,1.23,1.23,N/A,10.98,N/A,10.07,N/A,8.94,N/A,9.18
พัทลุง,Phatthalung,2565,N/A,N/A,26.48,26.74,26.74,20.33,25.96,0.49,20.33,25.96,N/A,5.85,0.49,0.49,N/A,11.4,N/A,10.5,N/A,9.43,N/A,9.53
ปัตตานี,Pattani,2565,N/A,N/A,20,19.59,19.59,16.5,37.56,6.34,16.5,37.56,N/A,4.33,6.34,6.34,N/A,10.04,N/A,8.95,N/A,7.63,N/A,8
ยะลา,Yala,2565,N/A,N/A,18.95,34.63,34.63,20.24,25.09,1.08,20.24,25.09,N/A,4.73,1.08,1.08,N/A,11.33,N/A,10.28,N/A,9.01,N/A,9.17
นราธิวาส,Narathiwat,2565,N/A,N/A,20.29,22.75,22.75,16.32,34.19,6.47,16.32,34.19,N/A,3.95,6.47,6.47,N/A,10.18,N/A,9.25,N/A,8.14,N/A,8.15
